store_id,source_store_id,store_name,store_type,store_size
S001,1,Central Plaza,A,151315
S002,2,City Center,A,202307
S003,3,Riverside Market,B,37392
S004,4,Metro Square,A,205863
S005,5,Grand Avenue,B,34875
S006,6,North Point,A,202505
S007,7,South Gate,B,70713
S008,8,East Market,A,155078
S009,9,West End,B,125833
S010,10,Lakeside Plaza,B,126512
S011,11,Greenfield Market,A,207499
S012,12,Park Avenue,B,112238
S013,13,Civic Center,A,219622
S014,14,Sunrise Plaza,A,200898
S015,15,Harbor Point,B,123737
S016,16,Oak Street,B,57197
S017,17,Maple Square,B,93188
S018,18,Pine Market,B,120653
S019,19,Hilltop Plaza,A,203819
S020,20,Riverwalk Center,A,203742
S021,21,Market Street,B,140167
S022,22,Garden City,B,119557
S023,23,Main Street,B,114533
S024,24,Grand Junction,A,203819
S025,25,Central Market,B,128107
S026,26,Valley Plaza,A,152513
S027,27,Heritage Square,A,204184
S028,28,Liberty Market,A,206302
S029,29,Royal Avenue,B,93638
S030,30,Community Center,C,42988
S031,31,Airport Plaza,A,203750
S032,32,Sunset Market,A,203007
S033,33,Meadow Point,A,39690
S034,34,Highland Square,A,158114
S035,35,Broadway Market,B,103681
S036,36,Lakeview Center,A,39910
S037,37,Springfield Plaza,C,39910
S038,38,Woodland Market,C,39690
S039,39,Station Square,A,184109
S040,40,Gateway Center,A,155083
S041,41,Parkside Market,A,196321
S042,42,Crescent Plaza,C,39690
S043,43,Capital Square,C,41062
S044,44,Horizon Market,C,39910
S045,45,Urban Center,B,118221
S046,46,New City Center,A,150000
